id,title,original_title,release_date,budget
46548,Header,Header,8/12/2006,349999
46595,The Great Ecstasy of Woodcarver Steiner,Die große Ekstase des Bildschnitzers Steiner,1/1/1974,22500
46691,Joe,Joe,7/15/1970,106000
46713,Hunt to Kill,Hunt to Kill,11/6/2010,2300000
46734,Eva,Eva,8/1/2010,3383700
46738,Incendies,Incendies,9/4/2010,6800000
46838,Tucker and Dale vs Evil,Tucker and Dale vs Evil,1/22/2010,5000000
46889,Living Out Loud,Living Out Loud,10/30/1998,12000000
46891,Find Love,Find Love,1/1/2006,500000
46902,The Treatment,The Treatment,4/8/2006,900000
47038,The Pit,The Pit,10/23/1981,1000000
47065,Tales of an Ancient Empire,Tales of an Ancient Empire,7/31/2010,1000000
47122,Flaming Creatures,Flaming Creatures,4/29/1963,300
47166,Ferdinand the Bull,Ferdinand the Bull,11/23/1938,66260
47194,Blood Night: The Legend of Mary Hatchet,Blood Night: The Legend of Mary Hatchet,10/10/2009,3000000
47386,YellowBrickRoad,YellowBrickRoad,1/23/2010,500000
47407,Milf,Milf,10/17/2010,500000
47435,St. George Shoots the Dragon,Sveti Georgije ubiva aždahu,3/11/2009,5000000
47497,Expecting Love,Mala wielka milosc,2/29/2008,3
47542,Peter-No-Tail,Pelle Svanslös,12/25/1981,48740
47620,Poison,Poison,4/5/1991,250000
47655,Hisss,Hisss,10/22/2010,10000000
47760,Restless,Restless,9/16/2011,8000000
47816,3 Strikes,3 Strikes,3/1/2000,6000000
47845,12 Paces without a Head,12 Meter ohne Kopf,12/10/2009,8500000
47878,Lookin' to Get Out,Lookin' to Get Out,10/8/1982,17000000
47880,Mrs Palfrey at The Claremont,Mrs Palfrey at The Claremont,11/25/2005,750000
47941,Under the Rainbow,Under the Rainbow,7/31/1981,20000000
47942,When Time Ran Out...,When Time Ran Out...,3/28/1980,20000000
47955,White Dog,White Dog,7/7/1982,8000000
47971,xXx: Return of Xander Cage,xXx: Return of Xander Cage,1/13/2017,85000000
48129,Run,Run,2/1/1991,16000000
48138,Unknown,Unknown,2/16/2011,30000000
48227,La Soufrière,La Soufrière - Warten auf eine unausweichliche Katastrophe,1/1/1977,30000
48233,The Terrorist,Theeviravaathi: The Terrorist,9/12/1998,24554
48289,The Debt,The Debt,4/11/2010,20000000
48309,Prison,Prison,3/4/1988,1300000
